code,validcode,description
H28,0,Cataract and other disorders of lens in diseases classified elsewhere
H280,1,Diabetic cataract
H281,1,"Cataract in other endocrine, nutritional and metabolic diseases"
H282,1,Cataract in other diseases classified elsewhere
H288,1,Other disorders of lens in diseases classified elsewhere
H30,0,Chorioretinal inflammation
H300,1,Focal chorioretinal inflammation
H301,1,Disseminated chorioretinal inflammation
H302,1,Posterior cyclitis
H308,1,Other chorioretinal inflammations
H309,1,"Chorioretinal inflammation, unspecified"
H31,0,Other disorders of choroid
H310,1,Chorioretinal scars
H311,1,Choroidal degeneration
H312,1,Hereditary choroidal dystrophy
H313,1,Choroidal haemorrhage and rupture
H314,1,Choroidal detachment
H318,1,Other specified disorders of choroid
H319,1,"Disorder of choroid, unspecified"
H32,0,Chorioretinal disorders in diseases classified elsewhere
H320,1,Chorioretinal inflammation in infectious and parasitic diseases classified elsewhere
H328,1,Other chorioretinal disorders in diseases classified elsewhere
H33,0,Retinal detachments and breaks
H330,1,Retinal detachment with retinal break
H331,1,Retinoschisis and retinal cysts
H332,1,Serous retinal detachment
H333,1,Retinal breaks without detachment
H334,1,Traction detachment of retina
H335,1,Other retinal detachments
H34,0,Retinal vascular occlusions
H340,1,Transient retinal artery occlusion
H341,1,Central retinal artery occlusion
H342,1,Other retinal artery occlusions
H348,1,Other retinal vascular occlusions
H349,1,"Retinal vascular occlusion, unspecified"
H35,0,Other retinal disorders
H350,1,Background retinopathy and retinal vascular changes
H351,1,Retinopathy of prematurity
H352,1,Other proliferative retinopathy
H353,1,Degeneration of macula and posterior pole
H354,1,Peripheral retinal degeneration
H355,1,Hereditary retinal dystrophy
H356,1,Retinal haemorrhage
H357,1,Separation of retinal layers
H358,1,Other specified retinal disorders
H359,1,"Retinal disorder, unspecified"
H36,0,Retinal disorders in diseases classified elsewhere
H360,1,Diabetic retinopathy
H3600,1,Nonproliferative diabetic retinopathy (NPDR) (TM)
H3601,1,Nonproliferative diabetic retinopathy (NPDR) with maculopathy (TM)
H3602,1,Proliferative diabetic retinopathy (PDR) (TM)
H3609,1,"Diabetic retinopathy, unspecified (TM)"
H368,1,Other retinal disorders in diseases classified elsewhere
H40,0,Glaucoma
H400,1,Glaucoma suspect
H401,1,Primary open-angle glaucoma
H402,1,Primary angle-closure glaucoma
H403,1,Glaucoma secondary to eye trauma
H404,1,Glaucoma secondary to eye inflammation
H405,1,Glaucoma secondary to other eye disorders
H406,1,Glaucoma secondary to drugs
H408,1,Other glaucoma
H409,1,"Glaucoma, unspecified"
H42,0,Glaucoma in diseases classified elsewhere
H420,1,"Glaucoma in endocrine, nutritional and metabolic diseases"
H428,1,Glaucoma in other diseases classified elsewhere
H43,0,Disorders of vitreous body
H430,1,Vitreous prolapse
H431,1,Vitreous haemorrhage
H432,1,Crystalline deposits in vitreous body
H433,1,Other vitreous opacities
H438,1,Other disorders of vitreous body
H439,1,"Disorder of vitreous body, unspecified"
H44,0,Disorders of globe
H440,1,Purulent endophthalmitis
H441,1,Other endophthalmitis
H442,1,Degenerative myopia
H443,1,Other degenerative disorders of globe
H444,1,Hypotony of eye
H445,1,Degenerated conditions of globe
H446,1,"Retained (old) intraocular foreign body, magnetic"
H447,1,"Retained (old) intraocular foreign body, nonmagnetic"
H448,1,Other disorders of globe
H449,1,"Disorder of globe, unspecified"
H45,0,Disorders of vitreous body and globe in diseases classified elsewhere
H450,1,Vitreous haemorrhage in diseases classified elsewhere
H451,1,Endophthalmitis in diseases classified elsewhere
H458,1,Other disorders of vitreous body and globe in diseases classified elsewhere
H46,1,Optic neuritis
H47,0,Other disorders of optic [2nd] nerve and visual pathways
H470,1,"Disorders of optic nerve, not elsewhere classified"
H471,1,"Papilloedema, unspecified"
H472,1,Optic atrophy
H473,1,Other disorders of optic disc
H474,1,Disorders of optic chiasm
H475,1,Disorders of other visual pathways
H476,1,Disorders of visual cortex
H477,1,"Disorder of visual pathways, unspecified"
H48,0,Disorders of optic [2nd] nerve and visual pathways in diseases classified elsewhere
H480,1,Optic atrophy in diseases classified elsewhere
H481,1,Retrobulbar neuritis in diseases classified elsewhere
H488,1,Other disorders of optic nerve and visual pathways in diseases classified elsewhere
H49,0,Paralytic strabismus
H490,1,Third [oculomotor] nerve palsy
H491,1,Fourth [trochlear] nerve palsy
H492,1,Sixth [abducent] nerve palsy
H493,1,Total (external) ophthalmoplegia
H494,1,Progressive external ophthalmoplegia
H498,1,Other paralytic strabismus
H499,1,"Paralytic strabismus, unspecified"
H50,0,Other strabismus
H500,1,Convergent concomitant strabismus
H501,1,Divergent concomitant strabismus
H502,1,Vertical strabismus
H503,1,Intermittent heterotropia
H504,1,Other and unspecified heterotropia
H505,1,Heterophoria
H506,1,Mechanical strabismus
H508,1,Other specified strabismus
H509,1,"Strabismus, unspecified"
H51,0,Other disorders of binocular movement
H510,1,Palsy of conjugate gaze
H511,1,Convergence insufficiency and excess
H512,1,Internuclear ophthalmoplegia
H518,1,Other specified disorders of binocular movement
H519,1,"Disorder of binocular movement, unspecified"
H52,0,Disorders of refraction and accommodation
H520,1,Hypermetropia
H521,1,Myopia
H522,1,Astigmatism
H523,1,Anisometropia and aniseikonia
H524,1,Presbyopia
H525,1,Disorders of accommodation
H526,1,Other disorders of refraction
H527,1,"Disorder of refraction, unspecified"
H53,0,Visual disturbances
H530,1,Amblyopia ex anopsia
H531,1,Subjective visual disturbances
H532,1,Diplopia
H533,1,Other disorders of binocular vision
H534,1,Visual field defects
H535,1,Colour vision deficiencies
H536,1,Night blindness
H538,1,Other visual disturbances
H539,1,"Visual disturbance, unspecified"
H54,0,Blindness and low vision
H540,1,"Blindness, binocular"
H541,1,"Severe visual impairment, binocular"
H542,1,"Moderate visual impairment, binocular"
H543,1,"Mild or no visual impairment, binocular"
H544,1,"Blindness, monocular"
H545,1,"Severe visual impairment, monocular"
H546,1,"Moderate visual impairment, monocular"
H547,1,Unspecified visual loss
H549,1,Unspecified visual impairment (binocular)
H55,1,Nystagmus and other irregular eye movements
H57,0,Other disorders of eye and adnexa
H570,1,Anomalies of pupillary function
H571,1,Ocular pain
H578,1,Other specified disorders of eye and adnexa
H579,1,"Disorder of eye and adnexa, unspecified"
H58,0,Other disorders of eye and adnexa in diseases classified elsewhere
H580,1,Anomalies of pupillary function in diseases classified elsewhere
H581,1,Visual disturbances in diseases classified elsewhere
H588,1,Other specified disorders of eye and adnexa in diseases classified elsewhere
H59,0,"Post procedure disorder of eye and adnexa, not elsewhere classified"
H590,1,Keratopathy (bullous aphakic) following cataract surgery
H598,1,Other postprocedural disorders of eye and adnexa
H599,1,"Postprocedural disorder of eye and adnexa, unspecified"
H60,0,Otitis externa
H600,1,Abscess of external ear
H601,1,Cellulitis of external ear
H602,1,Malignant otitis externa
H603,1,Other infective otitis externa
H604,1,Cholesteatoma of external ear
H605,1,"Acute otitis externa, noninfective"
H608,1,Other otitis externa
H609,1,"Otitis externa, unspecified"
H61,0,Other disorders of external ear
H610,1,Perichondritis of external ear
H611,1,Noninfective disorders of pinna
H612,1,Impacted cerumen
H613,1,Acquired stenosis of external ear canal
H614,1,Hematoma or seroma of external ear (TM)
H618,1,Other specified disorders of external ear
H619,1,"Disorder of external ear, unspecified"
H62,0,Disorders of external ear in diseases classified elsewhere
H620,1,Otitis externa in bacterial diseases classified elsewhere
H621,1,Otitis externa in viral diseases classified elsewhere
H622,1,Otitis externa in mycoses
H623,1,Otitis externa in other infectious and parasitic diseases classified elsewhere
H624,1,Otitis externa in other diseases classified elsewhere
H628,1,Other disorders of external ear in diseases classified elsewhere
H65,0,Nonsuppurative otitis media
H650,1,Acute serous otitis media
H651,1,Other acute nonsuppurative otitis media
H652,1,Chronic serous otitis media
H653,1,Chronic mucoid otitis media
H654,1,Other chronic nonsuppurative otitis media
H659,1,"Nonsuppurative otitis media, unspecified"
H66,0,Suppurative and unspecified otitis media
H660,1,Acute suppurative otitis media
H661,1,Chronic tubotympanic suppurative otitis media
H662,1,Chronic atticoantral suppurative otitis media
H663,1,Other chronic suppurative otitis media
H664,1,"Suppurative otitis media, unspecified"
H669,1,"Otitis media, unspecified"
H67,0,Otitis media in diseases classified elsewhere
H670,1,Otitis media in bacterial diseases classified elsewhere
H671,1,Otitis media in viral diseases classified elsewhere
H678,1,Otitis media in other diseases classified elsewhere
H68,0,Eustachian salpingitis and obstruction
H680,1,Eustachian salpingitis
H681,1,Obstruction of Eustachian tube
H69,0,Other disorders of Eustachian tube
H690,1,Patulous Eustachian tube
H698,1,Other specified disorders of Eustachian tube
H699,1,"Eustachian tube disorder, unspecified"
H70,0,Mastoiditis and related conditions
H700,1,Acute mastoiditis
H701,1,Chronic mastoiditis
H702,1,Petrositis
H708,1,Other mastoiditis and related conditions
H709,1,"Mastoiditis, unspecified"
H71,1,Cholesteatoma of middle ear
H72,0,Perforation of tympanic membrane
H720,1,Central perforation of tympanic membrane
H721,1,Attic perforation of tympanic membrane
H722,1,Other marginal perforations of tympanic membrane
H728,1,Other perforations of tympanic membrane
H729,1,"Perforation of tympanic membrane, unspecified"
H73,0,Other disorders of tympanic membrane
H730,1,Acute myringitis
H731,1,Chronic myringitis
H738,1,Other specified disorders of tympanic membrane
H739,1,"Disorder of tympanic membrane, unspecified"
H74,0,Other disorders of middle ear and mastoid
H740,1,Tympanosclerosis
H741,1,Adhesive middle ear disease
H742,1,Discontinuity and dislocation of ear ossicles
H743,1,Other acquired abnormalities of ear ossicles
H744,1,Polyp of middle ear
H745,1,Elongation of styloid process (TM)
H748,1,Other specified disorders of middle ear and mastoid
H749,1,"Disorder of middle ear and mastoid, unspecified"
H75,0,Other disorders of middle ear and mastoid in diseases classified elsewhere
H750,1,Mastoiditis in infectious and parasitic diseases classified elsewhere
H758,1,Other specified disorders of middle ear and mastoid in diseases classified elsewhere
H80,0,Otosclerosis
H800,1,"Otosclerosis involving oval window, nonobliterative"
H801,1,"Otosclerosis involving oval window, obliterative"
H802,1,Cochlear otosclerosis
H808,1,Other otosclerosis
H809,1,"Otosclerosis, unspecified"
H81,0,Disorders of vestibular function
H810,1,Ménière disease
H811,1,Benign paroxysmal vertigo
H812,1,Vestibular neuronitis
H813,1,Other peripheral vertigo
H814,1,Vertigo of central origin
H818,1,Other disorders of vestibular function
H819,1,"Disorder of vestibular function, unspecified"
H82,1,Vertiginous syndromes in diseases classified elsewhere
H83,0,Other diseases of inner ear
H830,1,Labyrinthitis
H831,1,Labyrinthine fistula
H832,1,Labyrinthine dysfunction
H833,1,Noise effects on inner ear
H838,1,Other specified diseases of inner ear
H839,1,"Disease of inner ear, unspecified"
H90,0,Conductive and sensorineural hearing loss
H900,1,"Conductive hearing loss, bilateral"
H901,1,"Conductive hearing loss, unilateral with unrestricted hearing on the contralateral side"
H902,1,"Conductive hearing loss, unspecified"
H903,1,"Sensorineural hearing loss, bilateral"
H904,1,"Sensorineural hearing loss, unilateral with unrestricted hearing on the contralateral side"
H905,1,"Sensorineural hearing loss, unspecified"
H906,1,"Mixed conductive and sensorineural hearing loss, bilateral"
H907,1,"Mixed conductive and sensorineural hearing loss, unilateral with unrestricted hearing on the contralateral side"
H908,1,"Mixed conductive and sensorineural hearing loss, unspecified"
H91,0,Other hearing loss
H910,1,Ototoxic hearing loss
H911,1,Presbycusis
H912,1,Sudden idiopathic hearing loss
H913,1,"Deaf mutism, not elsewhere classified"
H918,1,Other specified hearing loss
H919,1,"Hearing loss, unspecified"
H92,0,Otalgia and effusion of ear
H920,1,Otalgia
H921,1,Otorrhoea
H922,1,Otorrhagia
H93,0,"Other disorders of ear, not elsewhere classified"
H930,1,Degenerative and vascular disorders of ear
H931,1,Tinnitus
H932,1,Other abnormal auditory perceptions
H933,1,Disorders of acoustic nerve
H938,1,Other specified disorders of ear
H939,1,"Disorder of ear, unspecified"
H94,0,Other disorders of ear in diseases classified elsewhere
H940,1,Acoustic neuritis in infectious and parasitic diseases classified elsewhere
H948,1,Other specified disorders of ear in diseases classified elsewhere
H95,0,"Postprocedural disorders of ear and mastoid process, not elsewhere classified"
H950,1,Recurrent cholesteatoma of postmastoidectomy cavity
H951,1,Other disorders following mastoidectomy
H958,1,Other postprocedural disorders of ear and mastoid process
H959,1,"Postprocedural disorder of ear and mastoid process, unspecified"
I00,1,Rheumatic fever without mention of heart involvement
I01,0,Rheumatic fever with heart involvement
I010,1,Acute rheumatic pericarditis
I011,1,Acute rheumatic endocarditis
I012,1,Acute rheumatic myocarditis
I018,1,Other acute rheumatic heart disease
I019,1,"Acute rheumatic heart disease, unspecified"
I02,0,Rheumatic chorea
I020,1,Rheumatic chorea with heart involvement
I029,1,Rheumatic chorea without heart involvement
I05,0,Rheumatic mitral valve diseases
I050,1,Mitral stenosis
I051,1,Rheumatic mitral insufficiency
I052,1,Mitral stenosis with insufficiency
I058,1,Other mitral valve diseases
I059,1,"Mitral valve disease, unspecified"
I06,0,Rheumatic aortic valve diseases
I060,1,Rheumatic aortic stenosis
I061,1,Rheumatic aortic insufficiency
I062,1,Rheumatic aortic stenosis with insufficiency
I068,1,Other rheumatic aortic valve diseases
I069,1,"Rheumatic aortic valve disease, unspecified"
I07,0,Rheumatic tricuspid valve diseases
I070,1,Tricuspid stenosis
I071,1,Tricuspid insufficiency
I072,1,Tricuspid stenosis with insufficiency
I078,1,Other tricuspid valve diseases
I079,1,"Tricuspid valve disease, unspecified"
I08,0,Multiple valve diseases
I080,1,Disorders of both mitral and aortic valves
I081,1,Disorders of both mitral and tricuspid valves
I082,1,Disorders of both aortic and tricuspid valves
I083,1,"Combined disorders of mitral, aortic and tricuspid valves"
I088,1,Other multiple valve diseases
I089,1,"Multiple valve disease, unspecified"
I09,0,Other rheumatic heart diseases
I090,1,Rheumatic myocarditis
I091,1,"Rheumatic diseases of endocardium, valve unspecified"
I092,1,Chronic rheumatic pericarditis
I098,1,Other specified rheumatic heart diseases
I099,1,"Rheumatic heart disease, unspecified"
I10,1,Essential (primary) hypertension
I11,0,Hypertensive heart disease
I110,1,Hypertensive heart disease with (congestive) heart failure
I119,1,Hypertensive heart disease without (congestive) heart failure
I12,0,Hypertensive renal disease
I120,1,Hypertensive renal disease with renal failure
I129,1,Hypertensive renal disease without renal failure
I13,0,Hypertensive heart and renal disease
I130,1,Hypertensive heart and renal disease with (congestive) heart failure
I131,1,Hypertensive heart and renal disease with renal failure
I132,1,Hypertensive heart and renal disease with both (congestive) heart failure and renal failure
I139,1,"Hypertensive heart and renal disease, unspecified"
I15,0,Secondary hypertension
I150,1,Renovascular hypertension
I151,1,Hypertension secondary to other renal disorders
I152,1,Hypertension secondary to endocrine disorders
I158,1,Other secondary hypertension
I159,1,"Secondary hypertension, unspecified"
I20,0,Angina pectoris
I200,1,Unstable angina
I201,1,Angina pectoris with documented spasm
I208,1,Other forms of angina pectoris
I209,1,"Angina pectoris, unspecified"
I21,0,Acute myocardial infarction
I210,1,Acute transmural myocardial infarction of anterior wall
I211,1,Acute transmural myocardial infarction of inferior wall
I212,1,Acute transmural myocardial infarction of other sites
I213,1,Acute transmural myocardial infarction of unspecified site
I214,1,Acute subendocardial myocardial infarction
I219,1,"Acute myocardial infarction, unspecified"
I22,0,Subsequent myocardial infarction
I220,1,Subsequent myocardial infarction of anterior wall
I221,1,Subsequent myocardial infarction of inferior wall
I228,1,Subsequent myocardial infarction of other sites
I229,1,Subsequent myocardial infarction of unspecified site
I23,0,Certain current complications following acute myocardial infarction
I230,1,Haemopericardium as current complication following acute myocardial infarction
I231,1,Atrial septal defect as current complication following acute myocardial infarction
I232,1,Ventricular septal defect as current complication following acute myocardial infarction
I233,1,Rupture of cardiac wall without haemopericardium as current complication following acute myocardial infarction
I234,1,Rupture of chordae tendineae as current complication following acute myocardial infarction
I235,1,Rupture of papillary muscle as current complication following acute myocardial infarction
I236,1,"Thrombosis of atrium, auricular appendage, and ventricle as current complications following acute myocardial infarction"
I238,1,Other current complications following acute myocardial infarction
I24,0,Other acute ischaemic heart diseases
I240,1,Coronary thrombosis not resulting in myocardial infarction
I241,1,Dressler syndrome
I248,1,Other forms of acute ischaemic heart disease
I249,1,"Acute ischaemic heart disease, unspecified"
I25,0,Chronic ischaemic heart disease
I250,1,"Atherosclerotic cardiovascular disease, so described"
I251,1,Atherosclerotic heart disease
I252,1,Old myocardial infarction
I253,1,Aneurysm of heart
I254,1,Coronary artery aneurysm and dissection
I255,1,Ischaemic cardiomyopathy
I256,1,Silent myocardial ischaemia
I258,1,Other forms of chronic ischaemic heart disease
I259,1,"Chronic ischaemic heart disease, unspecified"
I26,0,Pulmonary embolism
I260,1,Pulmonary embolism with mention of acute cor pulmonale
I269,1,Pulmonary embolism without mention of acute cor pulmonale
I27,0,Other pulmonary heart diseases
I270,1,Primary pulmonary hypertension
I271,1,Kyphoscoliotic heart disease
I272,1,Other secondary pulmonary hypertension
I278,1,Other specified pulmonary heart diseases
I279,1,"Pulmonary heart disease, unspecified"
I28,0,Other diseases of pulmonary vessels
I280,1,Arteriovenous fistula of pulmonary vessels
I281,1,Aneurysm of pulmonary artery
I288,1,Other specified diseases of pulmonary vessels
I289,1,"Disease of pulmonary vessels, unspecified"
I30,0,Acute pericarditis
I300,1,Acute nonspecific idiopathic pericarditis
I301,1,Infective pericarditis
I308,1,Other forms of acute pericarditis
I309,1,"Acute pericarditis, unspecified"
I31,0,Other diseases of pericardium
I310,1,Chronic adhesive pericarditis
I311,1,Chronic constrictive pericarditis
I312,1,"Haemopericardium, not elsewhere classified"
I313,1,Pericardial effusion (noninflammatory)
I318,1,Other specified diseases of pericardium
I319,1,"Disease of pericardium, unspecified"
I32,0,Pericarditis in diseases classified elsewhere
I320,1,Pericarditis in bacterial diseases classified elsewhere
I321,1,Pericarditis in other infectious and parasitic diseases classified elsewhere
I328,1,Pericarditis in other diseases classified elsewhere
I33,0,Acute and subacute endocarditis
I330,1,Acute and subacute infective endocarditis
I339,1,"Acute endocarditis, unspecified"
I34,0,Nonrheumatic mitral valve disorders
I340,1,Mitral (valve) insufficiency
I341,1,Mitral (valve) prolapse
I342,1,Nonrheumatic mitral (valve) stenosis
I348,1,Other nonrheumatic mitral valve disorders
I349,1,"Nonrheumatic mitral valve disorder, unspecified"
I35,0,Nonrheumatic aortic valve disorders
I350,1,Aortic (valve) stenosis
I351,1,Aortic (valve) insufficiency
I352,1,Aortic (valve) stenosis with insufficiency
I358,1,Other aortic valve disorders
I359,1,"Aortic valve disorder, unspecified"
I36,0,Nonrheumatic tricuspid valve disorders
I360,1,Nonrheumatic tricuspid (valve) stenosis
I361,1,Nonrheumatic tricuspid (valve) insufficiency
I362,1,Nonrheumatic tricuspid (valve) stenosis with insufficiency
I368,1,Other nonrheumatic tricuspid valve disorders
I369,1,"Nonrheumatic tricuspid valve disorder, unspecified"
I37,0,Pulmonary valve disorders
I370,1,Pulmonary valve stenosis
I371,1,Pulmonary valve insufficiency
I372,1,Pulmonary valve stenosis with insufficiency
I378,1,Other pulmonary valve disorders
I379,1,"Pulmonary valve disorder, unspecified"
I38,1,"Endocarditis, valve unspecified"
I39,0,Endocarditis and heart valve disorders in diseases classified elsewhere
I390,1,Mitral valve disorders in diseases classified elsewhere
I391,1,Aortic valve disorders in diseases classified elsewhere
I392,1,Tricuspid valve disorders in diseases classified elsewhere
I393,1,Pulmonary valve disorders in diseases classified elsewhere
I394,1,Multiple valve disorders in diseases classified elsewhere
I398,1,"Endocarditis, valve unspecified, in diseases classified elsewhere"
I40,0,Acute myocarditis
I400,1,Infective myocarditis
I401,1,Isolated myocarditis
I408,1,Other acute myocarditis
I409,1,"Acute myocarditis, unspecified"
I41,0,Myocarditis in diseases classified elsewhere
I410,1,Myocarditis in bacterial diseases classified elsewhere
I411,1,Myocarditis in viral diseases classified elsewhere
I412,1,Myocarditis in other infectious and parasitic diseases classified elsewhere
I418,1,Myocarditis in other diseases classified elsewhere
I42,0,Cardiomyopathy
I420,1,Dilated cardiomyopathy
I421,1,Obstructive hypertrophic cardiomyopathy
I422,1,Other hypertrophic cardiomyopathy
I423,1,Endomyocardial (eosinophilic) disease
I424,1,Endocardial fibroelastosis
I425,1,Other restrictive cardiomyopathy
I426,1,Alcoholic cardiomyopathy
I427,1,Cardiomyopathy due to drugs and other external agents
I428,1,Other cardiomyopathies
I429,1,"Cardiomyopathy, unspecified"
I43,0,Cardiomyopathy in diseases classified elsewhere
I430,1,Cardiomyopathy in infectious and parasitic diseases classified elsewhere
I431,1,Cardiomyopathy in metabolic diseases
I432,1,Cardiomyopathy in nutritional diseases
I438,1,Cardiomyopathy in other diseases classified elsewhere
I44,0,Atrioventricular and left bundle-branch block
I440,1,"Atrioventricular block, first degree"
I441,1,"Atrioventricular block, second degree"
I442,1,"Atrioventricular block, complete"
I443,1,Other and unspecified atrioventricular block
I444,1,Left anterior fascicular block
I445,1,Left posterior fascicular block
I446,1,Other and unspecified fascicular block
I447,1,"Left bundle-branch block, unspecified"
I45,0,Other conduction disorders
I450,1,Right fascicular block
I451,1,Other and unspecified right bundle-branch block
I452,1,Bifascicular block
I453,1,Trifascicular block
I454,1,Nonspecific intraventricular block
I455,1,Other specified heart block
I456,1,Pre-excitation syndrome
I458,1,Other specified conduction disorders
I459,1,"Conduction disorder, unspecified"
I46,0,Cardiac arrest
I460,1,Cardiac arrest with successful resuscitation
I461,1,"Sudden cardiac death, so described"
I469,1,"Cardiac arrest, unspecified"
I47,0,Paroxysmal tachycardia
I470,1,Re-entry ventricular arrhythmia
I471,1,Supraventricular tachycardia
I472,1,Ventricular tachycardia
I479,1,"Paroxysmal tachycardia, unspecified"
I48,1,Atrial fibrillation and flutter
I480,1,Paroxysmal atrial fibrillation
I481,1,Persistent atrial fibrillation
I482,1,Chronic atrial fibrillation
I483,1,Typical atrial flutter
I484,1,Atypical atrial flutter
I489,1,"Atrial fibrillation and atrial flutter, unspecified"
I49,0,Other cardiac arrhythmias
I490,1,Ventricular fibrillation and flutter
I4900,1,Ventricular fibrillation and flutter with structural heart diseases (TM)
I4901,1,Ventricular fibrillation and flutter without structural heart diseases (idiopathic)(Bugrada sy (TM)
I4908,1,Other ventricular fibrillation and flutter (TM)
I4909,1,"Ventricular fibrillation and flutter, unspecified (TM)"
I491,1,Atrial premature depolarization
I492,1,Junctional premature depolarization
I493,1,Ventricular premature depolarization
I494,1,Other and unspecified premature depolarization
I495,1,Sick sinus syndrome
I498,1,Other specified cardiac arrhythmias
I499,1,"Cardiac arrhythmia, unspecified"
I50,0,Heart failure
I500,1,Congestive heart failure
I501,1,Left ventricular failure
I509,1,"Heart failure, unspecified"
I51,0,Complications and ill-defined descriptions of heart disease
I510,1,"Cardiac septal defect, acquired"
I511,1,"Rupture of chordae tendineae, not elsewhere classified"
I512,1,"Rupture of papillary muscle, not elsewhere classified"
I513,1,"Intracardiac thrombosis, not elsewhere classified"
I514,1,"Myocarditis, unspecified"
I515,1,Myocardial degeneration
I516,1,"Cardiovascular disease, unspecified"
I517,1,Cardiomegaly
I518,1,Other ill-defined heart diseases
I519,1,"Heart disease, unspecified"
I52,0,Other heart disorders in diseases classified elsewhere
I520,1,Other heart disorders in bacterial diseases classified elsewhere
I521,1,Other heart disorders in other infectious and parasitic diseases classified elsewhere
I528,1,Other heart disorders in other diseases classified elsewhere
I60,0,Subarachnoid haemorrhage
I600,1,Subarachnoid haemorrhage from carotid siphon and bifurcation
I601,1,Subarachnoid haemorrhage from middle cerebral artery
I602,1,Subarachnoid haemorrhage from anterior communicating artery
I603,1,Subarachnoid haemorrhage from posterior communicating artery
I604,1,Subarachnoid haemorrhage from basilar artery
I605,1,Subarachnoid haemorrhage from vertebral artery
I606,1,Subarachnoid haemorrhage from other intracranial arteries
I607,1,"Subarachnoid haemorrhage from intracranial artery, unspecified"
I608,1,Other subarachnoid haemorrhage
I609,1,"Subarachnoid haemorrhage, unspecified"
I61,0,Intracerebral haemorrhage
I610,1,"Intracerebral haemorrhage in hemisphere, subcortical"
I611,1,"Intracerebral haemorrhage in hemisphere, cortical"
I612,1,"Intracerebral haemorrhage in hemisphere, unspecified"
I613,1,Intracerebral haemorrhage in brain stem
I614,1,Intracerebral haemorrhage in cerebellum
I615,1,"Intracerebral haemorrhage, intraventricular"
I616,1,"Intracerebral haemorrhage, multiple localized"
I618,1,Other intracerebral haemorrhage
I619,1,"Intracerebral haemorrhage, unspecified"
I62,0,Other nontraumatic intracranial haemorrhage
I620,1,Nontraumatic subdural haemorrhage
I621,1,Nontraumatic extradural haemorrhage
I629,1,"Intracranial haemorrhage (nontraumatic), unspecified"
I63,0,Cerebral infarction
I630,1,Cerebral infarction due to thrombosis of precerebral arteries
I631,1,Cerebral infarction due to embolism of precerebral arteries
I632,1,Cerebral infarction due to unspecified occlusion or stenosis of precerebral arteries
I633,1,Cerebral infarction due to thrombosis of cerebral arteries
I634,1,Cerebral infarction due to embolism of cerebral arteries
I635,1,Cerebral infarction due to unspecified occlusion or stenosis of cerebral arteries
I636,1,"Cerebral infarction due to cerebral venous thrombosis, nonpyogenic"
I638,1,Other cerebral infarction
I639,1,"Cerebral infarction, unspecified"
I64,1,"Stroke, not specified as haemorrhage or infarction"
I65,0,"Occlusion and stenosis of precerebral arteries, not resulting in cerebral infarction"
I650,1,Occlusion and stenosis of vertebral artery
I651,1,Occlusion and stenosis of basilar artery
I652,1,Occlusion and stenosis of carotid artery
I653,1,Occlusion and stenosis of multiple and bilateral precerebral arteries
I658,1,Occlusion and stenosis of other precerebral artery
I659,1,Occlusion and stenosis of unspecified precerebral artery
I66,0,"Occlusion and stenosis of cerebral arteries, not resulting in cerebral infarction"
I660,1,Occlusion and stenosis of middle cerebral artery
I661,1,Occlusion and stenosis of anterior cerebral artery
I662,1,Occlusion and stenosis of posterior cerebral artery
I663,1,Occlusion and stenosis of cerebellar arteries
I664,1,Occlusion and stenosis of multiple and bilateral cerebral arteries
I668,1,Occlusion and stenosis of other cerebral artery
I669,1,Occlusion and stenosis of unspecified cerebral artery
I67,0,Other cerebrovascular diseases
I670,1,"Dissection of cerebral arteries, nonruptured"
I671,1,"Cerebral aneurysm, nonruptured"
I672,1,Cerebral atherosclerosis
I673,1,Progressive vascular leukoencephalopathy
I674,1,Hypertensive encephalopathy
I675,1,Moyamoya disease
I676,1,Nonpyogenic thrombosis of intracranial venous system
I677,1,"Cerebral arteritis, not elsewhere classified"
I678,1,Other specified cerebrovascular diseases
I679,1,"Cerebrovascular disease, unspecified"
I68,0,Cerebrovascular disorders in diseases classified elsewhere
I680,1,Cerebral amyloid angiopathy
I681,1,Cerebral arteritis in infectious and parasitic diseases classified elsewhere
I682,1,Cerebral arteritis in other diseases classified elsewhere
I688,1,Other cerebrovascular disorders in diseases classified elsewhere
I69,0,Sequelae of cerebrovascular disease
I690,1,Sequelae of subarachnoid haemorrhage
I691,1,Sequelae of intracerebral haemorrhage
I692,1,Sequelae of other nontraumatic intracranial haemorrhage
I693,1,Sequelae of cerebral infarction
I694,1,"Sequelae of stroke, not specified as haemorrhage or infarction"
I698,1,Sequelae of other and unspecified cerebrovascular diseases
I70,0,Atherosclerosis
I700,1,Atherosclerosis of aorta
I7000,1,Atherosclerosis of aorta without gangrene
I7001,1,Atherosclerosis of aorta with gangrene
I701,1,Atherosclerosis of renal artery
I7010,1,Atherosclerosis of renal artery without gangrene
I7011,1,Atherosclerosis of renal artery with gangrene
I702,1,Atherosclerosis of arteries of extremities
I7020,1,Atherosclerosis of arteries of extremities without gangrene
I7021,1,Atherosclerosis of arteries of extremities with gangrene
I7022,1,Atherosclerosis of arteries of both extremities (TM)
I7029,1,"Atherosclerosis of arteries of extremities, unspecified (TM)"
I703,1,Atherosclerosis of carotid arteries (TM)
I708,1,Atherosclerosis of other arteries
I7080,1,Atherosclerosis of other arteries without gangrene
I7081,1,Atherosclerosis of other arteries with gangrene
