code,validcode,description
A250,1,Spirillosis
A251,1,Streptobacillosis
A259,1,"Rat-bite fever, unspecified"
A26,0,Erysipeloid
A260,1,Cutaneous erysipeloid
A267,1,Erysipelothrix sepsis
A268,1,Other forms of erysipeloid
A269,1,"Erysipeloid, unspecified"
A27,0,Leptospirosis
A270,1,Leptospirosis icterohaemorrhagica
A278,1,Other forms of leptospirosis
A279,1,"Leptospirosis, unspecified"
A28,0,"Other zoonotic bacterial diseases, not elsewhere classified"
A280,1,Pasteurellosis
A281,1,Cat-scratch disease
A282,1,Extraintestinal yersiniosis
A288,1,"Other specified zoonotic bacterial diseases, not elsewhere classified"
A289,1,"Zoonotic bacterial disease, unspecified"
A30,0,Leprosy [Hansen's disease]
A300,1,Indeterminate leprosy
A301,1,Tuberculoid leprosy
A302,1,Borderline tuberculoid leprosy
A303,1,Borderline leprosy
A304,1,Borderline lepromatous leprosy
A305,1,Lepromatous leprosy
A308,1,Other forms of leprosy
A309,1,"Leprosy, unspecified"
A31,0,Infection due to other mycobacteria
A310,1,Pulmonary mycobacterial infection
A311,1,Cutaneous mycobacterial infection
A318,1,Other mycobacterial infections
A319,1,"Mycobacterial infection, unspecified"
A32,0,Listeriosis
A320,1,Cutaneous listeriosis
A321,1,Listerial meningitis and meningoencephalitis
A327,1,Listerial sepsis
A328,1,Other forms of listeriosis
A329,1,"Listeriosis, unspecified"
A33,1,Tetanus neonatorum
A34,1,Obstetrical tetanus
A35,1,Other tetanus
A36,0,Diphtheria
A360,1,Pharyngeal diphtheria
A361,1,Nasopharyngeal diphtheria
A362,1,Laryngeal diphtheria
A363,1,Cutaneous diphtheria
A368,1,Other diphtheria
A369,1,"Diphtheria, unspecified"
A37,0,Whooping cough
A370,1,Whooping cough due to Bordetella pertussis
A371,1,Whooping cough due to Bordetella parapertussis
A378,1,Whooping cough due to other Bordetella species
A379,1,"Whooping cough, unspecified"
A38,1,Scarlet fever
A39,0,Meningococcal infection
A390,1,Meningococcal meningitis (G01*)
A391,1,Waterhouse-Friderichsen syndrome (E35.1*)
A392,1,Acute meningococcaemia
A393,1,Chronic meningococcaemia
A394,1,"Meningococcaemia, unspecified"
A395,1,Meningococcal heart disease
A398,1,Other meningococcal infections
A399,1,"Meningococcal infection, unspecified"
A40,0,Streptococcal septicaemia
A400,1,"Sepsis due to streptococcus, group A"
A401,1,"Sepsis due to streptococcus, group B"
A402,1,"Sepsis due to streptococcus, group D and enterococcus"
A403,1,Sepsis due to Streptococcus pneumoniae
A408,1,Other streptococcal sepsis
A409,1,"Streptococcal sepsis, unspecified"
A41,0,Other septicaemia
A410,1,Sepsis due to Staphylococcus aureus
A411,1,Sepsis due to other specified staphylococcus
A412,1,Sepsis due to unspecified staphylococcus
A413,1,Sepsis due to Haemophilus influenzae
A414,1,Sepsis due to anaerobes
A415,1,Sepsis due to other Gram-negative organisms
A418,1,Other specified sepsis
A419,1,"Sepsis, unspecified"
A42,0,Actinomycosis
A420,1,Pulmonary actinomycosis
A421,1,Abdominal actinomycosis
A422,1,Cervicofacial actinomycosis
A427,1,Actinomycotic sepsis
A428,1,Other forms of actinomycosis
A429,1,"Actinomycosis, unspecified"
A43,0,Nocardiosis
A430,1,Pulmonary nocardiosis
A431,1,Cutaneous nocardiosis
A438,1,Other forms of nocardiosis
A439,1,"Nocardiosis, unspecified"
A44,0,Bartonellosis
A440,1,Systemic bartonellosis
A441,1,Cutaneous and mucocutaneous bartonellosis
A448,1,Other forms of bartonellosis
A449,1,"Bartonellosis, unspecified"
A46,1,Erysipelas
A48,0,"Other bacterial diseases, not elsewhere classified"
A480,1,Gas gangrene
A481,1,Legionnaires disease
A482,1,Nonpneumonic Legionnaires disease [Pontiac fever]
A483,1,Toxic shock syndrome
A484,1,Brazilian purpuric fever
A488,1,Other specified bacterial diseases
A49,0,Bacterial infection of unspecified site
A490,1,"Staphylococcal infection, unspecified site"
A491,1,"Streptococcal and enterococcal infection, unspecified site"
A492,1,"Haemophilus influenzae infection, unspecified site"
A493,1,"Mycoplasma infection, unspecified site"
A498,1,Other bacterial infections of unspecified site
A499,1,"Bacterial infection, unspecified"
A50,0,Congenital syphilis
A500,1,"Early congenital syphilis, symptomatic"
A501,1,"Early congenital syphilis, latent"
A502,1,"Early congenital syphilis, unspecified"
A503,1,Late congenital syphilitic oculopathy
A504,1,Late congenital neurosyphilis [juvenile neurosyphilis]
A505,1,"Other late congenital syphilis, symptomatic"
A506,1,"Late congenital syphilis, latent"
A507,1,"Late congenital syphilis, unspecified"
A509,1,"Congenital syphilis, unspecified"
A51,0,Early syphilis
A510,1,Primary genital syphilis
A511,1,Primary anal syphilis
A512,1,Primary syphilis of other sites
A513,1,Secondary syphilis of skin and mucous membranes
A514,1,Other secondary syphilis
A515,1,"Early syphilis, latent"
A519,1,"Early syphilis, unspecified"
A52,0,Late syphilis
A520,1,Cardiovascular syphilis
A521,1,Symptomatic neurosyphilis
A522,1,Asymptomatic neurosyphilis
A523,1,"Neurosyphilis, unspecified"
A527,1,Other symptomatic late syphilis
A528,1,"Late syphilis, latent"
A529,1,"Late syphilis, unspecified"
A53,0,Other and unspecified syphilis
A530,1,"Latent syphilis, unspecified as early or late"
A539,1,"Syphilis, unspecified"
A54,0,Gonococcal infection
A540,1,Gonococcal infection of lower genitourinary tract without periurethral or accessory gland abscess
A541,1,Gonococcal infection of lower genitourinary tract with periurethral and accessory gland abscess
A542,1,Gonococcal pelviperitonitis and other gonococcal genitourinary infections
A543,1,Gonococcal infection of eye
A544,1,Gonococcal infection of musculoskeletal system
A545,1,Gonococcal pharyngitis
A546,1,Gonococcal infection of anus and rectum
A548,1,Other gonococcal infections
A549,1,"Gonococcal infection, unspecified"
A55,1,Chlamydial lymphogranuloma (venereum)
A56,0,Other sexually transmitted chlamydial diseases
A560,1,Chlamydial infection of lower genitourinary tract
A561,1,Chlamydial infection of pelviperitoneum and other genitourinary organs
A562,1,"Chlamydial infection of genitourinary tract, unspecified"
A563,1,Chlamydial infection of anus and rectum
A564,1,Chlamydial infection of pharynx
A568,1,Sexually transmitted chlamydial infection of other sites
A57,1,Chancroid
A58,1,Granuloma inguinale
A59,0,Trichomoniasis
A590,1,Urogenital trichomoniasis
A598,1,Trichomoniasis of other sites
A599,1,"Trichomoniasis, unspecified"
A60,0,Anogenital herpesviral [herpes simplex] infections
A600,1,Herpesviral infection of genitalia and urogenital tract
A601,1,Herpesviral infection of perianal skin and rectum
A609,1,"Anogenital herpesviral infection, unspecified"
A63,0,"Other predominantly sexually transmitted diseases, not elsewhere classified"
A630,1,Anogenital (venereal) warts
A638,1,Other specified predominantly sexually transmitted diseases
A64,1,Unspecified sexually transmitted disease
A65,1,Nonvenereal syphilis
A66,0,Yaws
A660,1,Initial lesions of yaws
A661,1,Multiple papillomata and wet crab yaws
A662,1,Other early skin lesions of yaws
A663,1,Hyperkeratosis of yaws
A664,1,Gummata and ulcers of yaws
A665,1,Gangosa
A666,1,Bone and joint lesions of yaws
A667,1,Other manifestations of yaws
A668,1,Latent yaws
A669,1,"Yaws, unspecified"
A67,0,Pinta [carate]
A670,1,Primary lesions of pinta
A671,1,Intermediate lesions of pinta
A672,1,Late lesions of pinta
A673,1,Mixed lesions of pinta
A679,1,"Pinta, unspecified"
A68,0,Relapsing fevers
A680,1,Louse-borne relapsing fever
A681,1,Tick-borne relapsing fever
A689,1,"Relapsing fever, unspecified"
A69,0,Other spirochaetal infections
A690,1,Necrotizing ulcerative stomatitis
A691,1,Other Vincent infections
A692,1,Lyme disease
A698,1,Other specified spirochaetal infections
A699,1,"Spirochaetal infection, unspecified"
A70,1,Chlamydia psittaci infection
A71,0,Trachoma
A710,1,Initial stage of trachoma
A711,1,Active stage of trachoma
A719,1,"Trachoma, unspecified"
A74,0,Other diseases caused by chlamydiae
A740,1,Chlamydial conjunctivitis (H13.1*)
A748,1,Other chlamydial diseases
A749,1,"Chlamydial infection, unspecified"
A75,0,Typhus fever
A750,1,Epidemic louse-borne typhus fever due to Rickettsia prowazekii
A751,1,Recrudescent typhus [Brill disease]
A752,1,Typhus fever due to Rickettsia typhi
A753,1,Typhus fever due to Rickettsia tsutsugamushi
A759,1,"Typhus fever, unspecified"
A77,0,Spotted fever [tick-borne rickettsioses]
A770,1,Spotted fever due to Rickettsia rickettsii
A771,1,Spotted fever due to Rickettsia conorii
A772,1,Spotted fever due to Rickettsia sibirica
A773,1,Spotted fever due to Rickettsia australis
A778,1,Other spotted fevers
A779,1,"Spotted fever, unspecified"
A78,1,Q fever
A79,0,Other rickettsioses
A790,1,Trench fever
A791,1,Rickettsialpox due to Rickettsia akari
A798,1,Other specified rickettsioses
A799,1,"Rickettsiosis, unspecified"
A80,0,Acute poliomyelitis
A800,1,"Acute paralytic poliomyelitis, vaccine-associated"
A801,1,"Acute paralytic poliomyelitis, wild virus, imported"
A802,1,"Acute paralytic poliomyelitis, wild virus, indigenous"
A803,1,"Acute paralytic poliomyelitis, other and unspecified"
A804,1,Acute nonparalytic poliomyelitis
A809,1,"Acute poliomyelitis, unspecified"
A81,0,Slow virus infections of central nervous system
A810,1,Creutzfeldt-Jakob disease
A811,1,Subacute sclerosing panencephalitis
A812,1,Progressive multifocal leukoencephalopathy
A818,1,Other atypical virus infections of central nervous system
A819,1,"Atypical virus infection of central nervous system, unspecified"
A82,0,Rabies
A820,1,Sylvatic rabies
A821,1,Urban rabies
A829,1,"Rabies, unspecified"
A83,0,Mosquito-borne viral encephalitis
A830,1,Japanese encephalitis
A831,1,Western equine encephalitis
A832,1,Eastern equine encephalitis
A833,1,St Louis encephalitis
A834,1,Australian encephalitis
A835,1,California encephalitis
A836,1,Rocio virus disease
A838,1,Other mosquito-borne viral encephalitis
A839,1,"Mosquito-borne viral encephalitis, unspecified"
A84,0,Tick-borne viral encephalitis
A840,1,Far Eastern tick-borne encephalitis [Russian spring-summer encephalitis]
A841,1,Central European tick-borne encephalitis
A848,1,Other tick-borne viral encephalitis
A849,1,"Tick-borne viral encephalitis, unspecified"
A85,0,"Other viral encephalitis, not elsewhere classified"
A850,1,Enteroviral encephalitis (G05.1*)
A851,1,Adenoviral encephalitis (G05.1*)
A852,1,"Arthropod-borne viral encephalitis, unspecified"
A858,1,Other specified viral encephalitis
A86,1,Unspecified viral encephalitis
A87,0,Viral meningitis
A870,1,Enteroviral meningitis (G02.0*)
A871,1,Adenoviral meningitis (G02.0*)
A872,1,Lymphocytic choriomeningitis
A878,1,Other viral meningitis
A879,1,"Viral meningitis, unspecified"
A88,0,"Other viral infections of the central nervous system, not elsewhere classified"
A880,1,Enteroviral exanthematous fever [Boston exanthem]
A881,1,Epidemic vertigo
A888,1,Other specified viral infections of central nervous system
A89,1,Unspecified viral infection of central nervous system
A970,1,Dengue without warning signs
A971,1,Dengue with warning signs
A972,1,Severe Dengue
A92,0,Other mosquito-borne viral fevers
A920,1,Chikungunya virus disease
A921,1,O'nyong-nyong fever
A922,1,Venezuelan equine fever
A923,1,West Nile virus infection
A924,1,Rift Valley fever
A925,1,Zika virus disease
A928,1,Other specified mosquito-borne viral fevers
A929,1,"Mosquito-borne viral fever, unspecified"
A93,0,"Other arthropod-borne viral fevers, not elsewhere classified"
A930,1,Oropouche virus disease
A931,1,Sandfly fever
A932,1,Colorado tick fever
A938,1,Other specified arthropod-borne viral fevers
A94,1,Unspecified arthropod-borne viral fever
A95,0,Yellow fever
A950,1,Sylvatic yellow fever
A951,1,Urban yellow fever
A959,1,"Yellow fever, unspecified"
A96,0,Arenaviral haemorrhagic fever
A960,1,Junin haemorrhagic fever
A961,1,Machupo haemorrhagic fever
A962,1,Lassa fever
A968,1,Other arenaviral haemorrhagic fevers
A969,1,"Arenaviral haemorrhagic fever, unspecified"
A97,1,Dengue
A979,1,"Dengue, unspecified"
A98,0,"Other viral haemorrhagic fevers, not elsewhere classified"
A980,1,Crimean-Congo haemorrhagic fever
A981,1,Omsk haemorrhagic fever
A982,1,Kyasanur forest disease
A983,1,Marburg virus disease
A984,1,Ebola virus disease
A985,1,Haemorrhagic fever with renal syndrome
A988,1,Other specified viral haemorrhagic fevers
A99,1,Unspecified viral haemorrhagic fever
B00,0,Herpesviral [herpes simplex] infections
B000,1,Eczema herpeticum
B001,1,Herpesviral vesicular dermatitis
B002,1,Herpesviral gingivostomatitis and pharyngotonsillitis
B003,1,Herpesviral meningitis (G02.0*)
B004,1,Herpesviral encephalitis (G05.1*)
B005,1,Herpesviral ocular disease
B007,1,Disseminated herpesviral disease
B008,1,Other forms of herpesviral infection
B009,1,"Herpesviral infection, unspecified"
B01,0,Varicella [chickenpox]
B010,1,Varicella meningitis (G02.0*)
B011,1,Varicella encephalitis (G05.1*)
B012,1,Varicella pneumonia (J17.1*)
B018,1,Varicella with other complications
B019,1,Varicella without complication
B02,0,Zoster [herpes zoster]
B020,1,Zoster encephalitis (G05.1*)
B021,1,Zoster meningitis (G02.0*)
B022,1,Zoster with other nervous system involvement
B023,1,Zoster ocular disease
B027,1,Disseminated zoster
B028,1,Zoster with other complications
B029,1,Zoster without complication
B03,1,Smallpox
B04,1,Monkeypox
B05,0,Measles
B050,1,Measles complicated by encephalitis (G05.1*)
B051,1,Measles complicated by meningitis (G02.0*)
B052,1,Measles complicated by pneumonia (J17.1*)
B053,1,Measles complicated by otitis media (H67.1*)
B054,1,Measles with intestinal complications
B058,1,Measles with other complications
B059,1,Measles without complication
B06,0,Rubella [German measles]
B060,1,Rubella with neurological complications
B068,1,Rubella with other complications
B069,1,Rubella without complication
B07,1,Viral warts
B08,0,"Other viral infections characterized by skin and mucous membrane lesions, not elsewhere"
B080,1,Other orthopoxvirus infections
B081,1,Molluscum contagiosum
B082,1,Exanthema subitum [sixth disease]
B083,1,Erythema infectiosum [fifth disease]
B084,1,Enteroviral vesicular stomatitis with exanthem
B085,1,Enteroviral vesicular pharyngitis
B088,1,Other specified viral infections characterized by skin and mucous membrane lesions
B09,1,Unspecified viral infection characterized by skin and mucous membrane lesions
B15,0,Acute hepatitis A
B150,1,Hepatitis A with hepatic coma
B159,1,Hepatitis A without hepatic coma
B16,0,Acute hepatitis B
B160,1,Acute hepatitis B with Delta-agent (coinfection) with hepatic coma
B161,1,Acute hepatitis B with Delta-agent (coinfection) without hepatic coma
B162,1,Acute hepatitis B without delta-agent with hepatic coma
B169,1,Acute hepatitis B without Delta-agent and without hepatic coma
B17,0,Other acute viral hepatitis
B170,1,Acute delta-(super)infection in chronic hepatitis B
B171,1,Acute hepatitis C
B172,1,Acute hepatitis E
B178,1,Other specified acute viral hepatitis
B179,1,"Acute viral hepatitis, unspecified"
B18,0,Chronic viral hepatitis
B180,1,Chronic viral hepatitis B with delta-agent
B1800,1,Chronic viral hepatitis B with delta-agent: immune-tolerant phase
B1809,1,Chronic viral hepatitis B with delta-agent: other and unspecified phase
B181,1,Chronic viral hepatitis B without delta-agent
B1810,1,Chronic viral hepatitis B without delta-agent: immune-tolerant phase
B1819,1,Chronic viral hepatitis B without delta-agent: other and unspecified phase
B182,1,Chronic viral hepatitis C
B188,1,Other chronic viral hepatitis
B189,1,"Chronic viral hepatitis, unspecified"
B19,0,Unspecified viral hepatitis
B190,1,Unspecified viral hepatitis with hepatic coma
B199,1,Unspecified viral hepatitis without hepatic coma
B20,0,HIV disease resulting in infectious and parasitic diseases
B200,1,HIV disease resulting in mycobacterial infection
B201,1,HIV disease resulting in other bacterial infections
B202,1,HIV disease resulting in cytomegaloviral disease
B203,1,HIV disease resulting in other viral infections
B204,1,HIV disease resulting in candidiasis
B205,1,HIV disease resulting in other mycoses
B206,1,HIV disease resulting in Pneumocystis jirovecii pneumonia
B207,1,HIV disease resulting in multiple infections
B208,1,HIV disease resulting in other infectious and parasitic diseases
B209,1,HIV disease resulting in unspecified infectious or parasitic disease
B21,0,HIV disease resulting in malignant neoplasms
B210,1,HIV disease resulting in Kaposi sarcoma
B211,1,HIV disease resulting in Burkitt lymphoma
B212,1,HIV disease resulting in other types of non-Hodgkin lymphoma
B213,1,"HIV disease resulting in other malignant neoplasms of lymphoid, haematopoietic and related tissue"
B217,1,HIV disease resulting in multiple malignant neoplasms
B218,1,HIV disease resulting in other malignant neoplasms
B219,1,HIV disease resulting in unspecified malignant neoplasm
B22,0,HIV disease resulting in other specified diseases
B220,1,HIV disease resulting in encephalopathy
B221,1,HIV disease resulting in lymphoid interstitial pneumonitis
B222,1,HIV disease resulting in wasting syndrome
B227,1,HIV disease resulting in multiple diseases classified elsewhere
B23,0,HIV disease resulting in other conditions
B230,1,Acute HIV infection syndrome
B231,1,HIV disease resulting in (persistent) generalized lymphadenopathy
B232,1,"HIV disease resulting in haematological and immunological abnormalities, not elsewhere classified"
B238,1,HIV disease resulting in other specified conditions
B24,1,Unspecified human immunodeficiency virus [HIV] disease
B25,0,Cytomegaloviral disease
B250,1,Cytomegaloviral pneumonitis (J17.1*)
B251,1,Cytomegaloviral hepatitis (K77.0*)
B252,1,Cytomegaloviral pancreatitis (K87.1*)
B258,1,Other cytomegaloviral diseases
B259,1,"Cytomegaloviral disease, unspecified"
B26,0,Mumps
B260,1,Mumps orchitis (N51.1*)
B261,1,Mumps meningitis (G02.0*)
B262,1,Mumps encephalitis (G05.1*)
B263,1,Mumps pancreatitis (K87.1*)
B268,1,Mumps with other complications
B269,1,Mumps without complication
B27,0,Infectious mononucleosis
B270,1,Gammaherpesviral mononucleosis
B271,1,Cytomegaloviral mononucleosis
B278,1,Other infectious mononucleosis
B279,1,"Infectious mononucleosis, unspecified"
B30,0,Viral conjunctivitis
B300,1,Keratoconjunctivitis due to adenovirus (H19.2*)
B301,1,Conjunctivitis due to adenovirus (H13.1*)
B302,1,Viral pharyngoconjunctivitis
B303,1,Acute epidemic haemorrhagic conjunctivitis (enteroviral) (H13.1*)
B308,1,Other viral conjunctivitis (H13.1*)
B309,1,"Viral conjunctivitis, unspecified"
B33,0,"Other viral diseases, not elsewhere classified"
B330,1,Epidemic myalgia
B331,1,Ross River disease
B332,1,Viral carditis
B333,1,"Retrovirus infections, not elsewhere classified"
B334,1,Hantavirus (cardio)-pulmonary syndrome [HPS] [HCPS] (J171*)
B338,1,Other specified viral diseases
B34,0,Viral infection of unspecified site
B340,1,"Adenovirus infection, unspecified site"
B341,1,"Enterovirus infection, unspecified site"
B342,1,"Coronavirus infection, unspecified site"
B343,1,"Parvovirus infection, unspecified site"
B344,1,"Papovavirus infection, unspecified site"
B348,1,Other viral infections of unspecified site
B349,1,"Viral infection, unspecified"
B35,0,Dermatophytosis
B350,1,Tinea barbae and tinea capitis
B351,1,Tinea unguium
B352,1,Tinea manuum
B353,1,Tinea pedis
B354,1,Tinea corporis
B355,1,Tinea imbricata
B356,1,Tinea inguinalis [Tinea cruris]
B357,1,Tinea faciei (TM)
B358,1,Other dermatophytoses
B359,1,"Dermatophytosis, unspecified"
B36,0,Other superficial mycoses
B360,1,Pityriasis versicolor
B361,1,Tinea nigra
B362,1,White piedra
B363,1,Black piedra
B368,1,Other specified superficial mycoses
B369,1,"Superficial mycosis, unspecified"
B37,0,Candidiasis
B370,1,Candidal stomatitis
B3700,1,Acute pseudomembranous candidal stomatitis (TM)
B3701,1,Acute  erythematous (atrophic) candidal stomatitis (TM)
B3702,1,Chronic hyperplastic candidal stomatitis (TM)
B3703,1,Chronic erythematous (atrophic) candidal stomatitis (TM)
B3704,1,Mucocutaneous candidiasis (TM)
B3705,1,Oral candidal granuloma (TM)
B3706,1,Angular cheilitis (TM)
B3708,1,"Other specified , candidal stomatitis (TM)"
B3709,1,"Candidal stomatitis, unspecified (TM)"
B371,1,Pulmonary candidiasis
B372,1,Candidiasis of skin and nail
B373,1,Candidiasis of vulva and vagina (N77.1*)
B374,1,Candidiasis of other urogenital sites
B375,1,Candidal meningitis (G02.1*)
B376,1,Candidal endocarditis (I39.8*)
B377,1,Candidal sepsis
B378,1,Candidiasis of other sites
B379,1,"Candidiasis, unspecified"
B38,0,Coccidioidomycosis
B380,1,Acute pulmonary coccidioidomycosis
B381,1,Chronic pulmonary coccidioidomycosis
B382,1,"Pulmonary coccidioidomycosis, unspecified"
B383,1,Cutaneous coccidioidomycosis
B384,1,Coccidioidomycosis meningitis (G02.1*)
B387,1,Disseminated coccidioidomycosis
B388,1,Other forms of coccidioidomycosis
B389,1,"Coccidioidomycosis, unspecified"
B39,0,Histoplasmosis
B390,1,Acute pulmonary histoplasmosis capsulati
B391,1,Chronic pulmonary histoplasmosis capsulati
B392,1,"Pulmonary histoplasmosis capsulati, unspecified"
