code,mdc,pdc,cc,maincc,ccrow,hiv_ax,trauma,sex,accpdx,ageduse,agemin,agemax,agedmin
Q255,05,5J,0,,0,,N,B,Y,N,0,124,0
Q257,05,5J,0,,0,,N,B,Y,N,0,124,0
A220,09,9C,0,,0,,N,B,Y,N,0,124,0
H054,02,2D,0,,0,,N,B,Y,N,0,124,0
Q260,05,5J,0,,0,,N,B,Y,N,0,124,0
Z617,23,23D,0,,0,,N,B,Y,N,0,124,0
M0319,08,8J,0,,0,,N,B,N,N,0,124,0
S32600,08,8B,0,,0,,0,B,Y,N,0,124,0
Q520,13,13F,0,,0,,N,F,Y,N,0,124,0
M8646,08,8D,0,,0,,N,B,Y,N,0,124,0
M0369,08,8J,0,,0,,N,B,N,N,0,124,0
T496,21,21C,0,,0,,N,B,Y,N,0,124,0
S4290,08,8Q,0,,0,,0,B,Y,N,0,124,0
S336,08,8H,0,,0,,0,B,Y,N,0,124,0
A821,01,1K,0,,0,,N,B,Y,N,0,124,0
M831,08,8J,0,,0,,N,B,Y,N,0,124,0
Q278,05,5F,0,,0,,N,B,Y,N,0,124,0
Q280,01,1U,0,,0,,N,B,Y,N,0,124,0
Z628,23,23D,0,,0,,N,B,Y,N,0,124,0
A921,18,18F,0,,0,,N,B,Y,N,0,124,0
S5300,08,8Q,0,,0,,0,B,Y,N,0,124,0
M4821,08,8H,0,,0,,N,B,Y,N,0,124,0
B674,18,18H,0,,0,,N,B,Y,N,0,124,0
Q929,23,23D,0,,0,,N,B,Y,N,0,124,0
Q302,03,3G,0,,0,,N,B,Y,N,0,124,0
D511,16,16A,0,,0,E,N,B,Y,N,0,124,0
M1388,08,8J,0,,0,,N,B,Y,N,0,124,0
T0250,21,21A,0,,0,,8,B,Y,N,0,124,0
Q311,03,3G,0,,0,,N,B,Y,N,0,124,0
G952,01,1U,0,,0,,N,B,Y,N,0,124,0
S8270,08,8Q,0,,0,,0,B,Y,N,0,124,0
F609,19,19H,0,,0,,N,B,Y,N,0,124,0
K0708,03,3H,0,,0,,N,B,Y,N,0,124,0
M5324,08,8H,0,,0,,N,B,Y,N,0,124,0
L744,09,9D,0,,0,,N,B,Y,N,0,124,0
Q321,03,3G,0,,0,,N,B,Y,N,0,124,0
P379,15,,0,,0,,N,B,Y,N,0,0,0
T338,21,21E,0,,0,,N,B,Y,N,0,124,0
S277,04,4Q,0,,0,,2,B,Y,N,0,124,0
S648,01,1J,0,,0,,0,B,Y,N,0,124,0
M7095,08,8M,0,,0,,N,B,Y,N,0,124,0
L518,09,9B,0,,0,,N,B,Y,N,0,124,0
M9046,08,8J,0,,0,,N,B,N,N,0,124,0
S700,09,9H,0,,0,,0,B,Y,N,0,124,0
S82317,08,8Q,0,,0,,8,B,Y,N,0,124,0
P128,15,,0,,0,,N,B,Y,N,0,0,0
